Name,Type,Category,Effect,Power,Acc,PP,TM,Prob.(%),Gen
"10,000,000 Volt Thunderbolt",Electric,Special,Pikachu-exclusive Z-Move.,195,-,1,,,7
Absorb,Grass,Special,User recovers half the HP inflicted on opponent.,20,100,25,,-,1
Accelerock,Rock,Physical,User attacks first.,40,100,20,,,7
Acid,Poison,Special,May lower opponent's Special Defense.,40,100,30,,10,1
Acid Armor,Poison,Status,Sharply raises user's Defense.,-,-,20,,-,1
Acid Downpour,Poison,Z-Move,Poison type Z-Move.,-,-,1,,,7
Acid Spray,Poison,Special,Sharply lowers opponent's Special Defense.,40,100,20,,100,5
Acrobatics,Flying,Physical,Stronger when the user does not have a held item.,55,100,15,TM62,-,5
Acupressure,Normal,Status,Sharply raises a random stat.,-,-,30,,-,4
Aerial Ace,Flying,Physical,Ignores Accuracy and Evasiveness.,60,∞,20,TM40,-,3
Aeroblast,Flying,Special,High critical hit ratio.,100,95,5,,-,2
After You,Normal,Status,Gives target priority in the next turn.,-,-,15,,-,5
Agility,Psychic,Status,Sharply raises user's Speed.,-,-,30,,-,1
Air Cutter,Flying,Special,High critical hit ratio.,60,95,25,,-,3
Air Slash,Flying,Special,May cause flinching.,75,95,20,,30,4
All-Out Pummeling,Fighting,Z-Move,Fighting type Z-Move.,-,-,1,,,7
Ally Switch,Psychic,Status,User switches with opposite teammate.,-,-,15,,-,5
Amnesia,Psychic,Status,Sharply raises user's Special Defense.,-,-,20,,-,1
Anchor Shot,Steel,Physical,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,80,100,20,,,7
Ancient Power,Rock,Special,May raise all user's stats at once.,60,100,5,,10,2
Aqua Jet,Water,Physical,User attacks first.,40,100,20,,-,4
Aqua Ring,Water,Status,Restores a little HP each turn.,-,-,20,,-,4
Aqua Tail,Water,Physical,,90,90,10,,-,4
Arm Thrust,Fighting,Physical,Hits 2-5 times in one turn.,15,100,20,,-,3
Aromatherapy,Grass,Status,Cures all status problems in your party.,-,-,5,,-,3
Aromatic Mist,Fairy,Status,Raises Special Defense of allies.,-,-,20,,-,6
Assist,Normal,Status,User performs a move known by its allies at random.,-,-,20,,-,3
Assurance,Dark,Physical,Power doubles if opponent already took damage in the same turn.,60,100,10,,-,4
Astonish,Ghost,Physical,May cause flinching.,30,100,15,,30,3
Attack Order,Bug,Physical,High critical hit ratio.,90,100,15,,-,4
Attract,Normal,Status,"If opponent is the opposite gender, it's less likely to attack.",-,100,15,TM45,-,2
Aura Sphere,Fighting,Special,Ignores Accuracy and Evasiveness.,80,∞,20,,-,4
Aurora Beam,Ice,Special,May lower opponent's Attack.,65,100,20,,10,1
Aurora Veil,Ice,Status,Halves damage from Physical and Special attacks for five turns.,-,-,20,TM70,,7
Autotomize,Steel,Status,Reduces weight and sharply raises Speed.,-,-,15,,-,5
Avalanche,Ice,Physical,Power doubles if user took damage first.,60,100,10,,-,4
Baby-Doll Eyes,Fairy,Status,Always goes first. Lowers the target's attack.,-,100,30,,-,6
Baddy Bad,Dark,Special,Reduces damage from Physical attacks.,90,100,15,,,7
