Name|Type|Category|Effect|Power|Accuracy|Probability|Generation
Absorb|Grass|Special|User recovers half the HP inflicted on opponent.|20|100|-|1
Acid|Poison|Physical|May lower opponent's Special Defense.|40|100|10|1
Acid Armor|Poison|Status|Sharply raises user's Defense.|-|-|-|1
Aerial Ace|Flying|Physical|Ignores Accuracy and Evasiveness.|60|∞|-|3
Aeroblast|Flying|Physical|High critical hit ratio.|100|95|-|2
Agility|Psychic|Status|Sharply raises user's Speed.|-|-|-|1
Air Cutter|Flying|Physical|High critical hit ratio.|60|95|-|3
Amnesia|Psychic|Status|Sharply raises user's Special Defense.|-|-|-|1
Ancient Power|Rock|Physical|May raise all user's stats at once.|60|100|10|2
Arm Thrust|Fighting|Physical|Hits 2-5 times in one turn.|15|100|-|3
Aromatherapy|Grass|Status|Cures all status problems in your party.|-|-|-|3
Assist|Normal|Status|User performs a move known by its allies at random.|-|-|-|3
Astonish|Ghost|Physical|May cause flinching.|30|100|30|3
Attract|Normal|Status|If opponent is the opposite gender, it's less likely to attack.|-|100|-|2
Aurora Beam|Ice|Special|May lower opponent's Attack.|65|100|10|1
Barrage|Normal|Physical|Hits 2-5 times in one turn.|15|85|-|1
Barrier|Psychic|Status|Sharply raises user's Defense.|-|-|-|1
Baton Pass|Normal|Status|User switches out and gives stat changes to the incoming Pokémon.|-|-|-|2
Beat Up|Dark|Special|Each Pokémon in your party attacks.|-|100|-|2
Belly Drum|Normal|Status|User loses 50% of its max HP, but Attack raises to maximum.|-|-|-|2
Bide|Normal|Physical|User takes damage for two turns then strikes back double.|-|-|-|1
Bind|Normal|Physical|Traps opponent, damaging them for 4-5 turns.|15|85|-|1
Bite|Dark|Special|May cause flinching.|60|100|30|1
Blast Burn|Fire|Special|User must recharge next turn.|150|90|-|3
Blaze Kick|Fire|Special|High critical hit ratio. May burn opponent.|85|90|10|3
Blizzard|Ice|Special|May freeze opponent.|110|70|10|1
Block|Normal|Status|Opponent cannot flee or switch.|-|-|-|3
Body Slam|Normal|Physical|May paralyze opponent.|85|100|30|1
Bone Club|Ground|Physical|May cause flinching.|65|85|10|1
Bone Rush|Ground|Physical|Hits 2-5 times in one turn.|25|90|-|2
Bonemerang|Ground|Physical|Hits twice in one turn.|50|90|-|1
Bounce|Flying|Physical|Springs up on first turn, attacks on second. May paralyze opponent.|85|85|30|3
Brick Break|Fighting|Physical|Breaks through Reflect and Light Screen barriers.|75|100|-|3
Bubble|Water|Special|May lower opponent's Speed.|40|100|10|1
Bubble Beam|Water|Special|May lower opponent's Speed.|65|100|10|1
Bulk Up|Fighting|Status|Raises user's Attack and Defense.|-|-|-|3
Bullet Seed|Grass|Special|Hits 2-5 times in one turn.|25|100|-|3
Calm Mind|Psychic|Status|Raises user's Special Attack and Special Defense.|-|-|-|3
Camouflage|Normal|Status|Changes user's type according to the location.|-|-|-|3
Charge|Electric|Status|Raises user's Special Defense and next Electric move's power increases.|-|-|-|3
Charm|Fairy|Status|Sharply lowers opponent's Attack.|-|100|-|2
Clamp|Water|Special|Traps opponent, damaging them for 4-5 turns.|35|85|-|1
Comet Punch|Normal|Physical|Hits 2-5 times in one turn.|18|85|-|1
Confuse Ray|Ghost|Status|Confuses opponent.|-|100|-|1
Confusion|Psychic|Special|May confuse opponent.|50|100|10|1
Constrict|Normal|Physical|May lower opponent's Speed by one stage.|10|100|10|1
Conversion|Normal|Status|Changes user's type to that of its first move.|-|-|-|1
Conversion 2|Normal|Status|User changes type to become resistant to opponent's last move.|-|-|-|2
Cosmic Power|Psychic|Status|Raises user's Defense and Special Defense.|-|-|-|3
Cotton Spore|Grass|Status|Sharply lowers opponent's Speed.|-|100|-|2
Counter|Fighting|Physical|When hit by a Physical Attack, user strikes back with 2x power.|-|100|-|1
Covet|Normal|Physical|Opponent's item is stolen by the user.|60|100|-|3
Crabhammer|Water|Special|High critical hit ratio.|100|90|-|1
Cross Chop|Fighting|Physical|High critical hit ratio.|100|80|-|2
Crunch|Dark|Special|May lower opponent's Defense.|80|100|20|2
Crush Claw|Normal|Physical|May lower opponent's Defense.|75|95|50|3
