Name,Money,Route,Location on Route,Pokemon,Level,Attack 1,Attack 2,Attack 3,Attack 4,EXP,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed
Littleroot Rival,80,Route 103,Top,Treecko,5,Pound,Leer,,,69,19,8,8,11,11,12
Gatekeeper Calvin,80,Route 102,,Poochyena,5,Tackle,Howl,,,58,18,11,8,8,8,7
Bug Catcher Rick,64,Route 102,,Wurmple,4,Tackle,String Shot,,,46,17,8,7,6,7,6
,,,,Wurmple,4,Tackle,String Shot,,,46,17,8,6,6,7,6
Youngster Allen,48,Route 102,,Zigzagoon,4,Tackle,Growl,,,51,17,7,8,7,7,9
,,,,Taillow,3,Peck,Growl,,,37,15,8,6,6,6,9
Lass Tiana,64,Route 102,,Zigzagoon,4,Tackle,Growl,,,51,17,7,8,7,7,9
,,,,Shroomish,4,Absorb,Tackle,,,55,18,8,9,8,9,6
Bug Catcher Lyle,48,Petalburg Woods,"Left, No Cut",Wurmple,3,Tackle,String Shot,,,34,15,7,7,6,5,6
,,,,Wurmple,3,Tackle,String Shot,,,34,15,7,7,6,6,5
,,,,Wurmple,3,Tackle,String Shot,,,34,15,6,7,6,6,6
,,,,Wurmple,3,Tackle,String Shot,,,34,15,7,7,5,6,6
Team Aqua Grunt,180,Petalburg Woods,Middle,Poochyena,9,Tackle,Howl,Sand-Attack,,106,25,15,11,10,10,9
Bug Catcher James,96,Petalburg Woods,"Top, No Cut",Nincada,6,Scratch,Harden,Leech Life,,83,19,10,15,8,8,8
,,,,Nincada,6,Scratch,Harden,Leech Life,,83,19,10,15,7,8,9
Rich Boy Winston,1400,Route 104,Upper,Zigzagoon,7,Tackle,Growl ,Tail Whip,,90,22,9,9,9,11,13
Fisherman Ivan,280,Route 104,Upper,Magikarp,5,Splash,,,,21,17,5,10,6,7,14
,,,,Magikarp,6,Splash,,,,25,18,6,12,6,6,14
,,,,Magikarp,7,Splash,,,,30,19,6,13,6,7,16
Youngster Josh,160,Rustboro Gym,Lower,Geodude,10,Tackle,,,,184,29,19,26,13,12,10
Youngster Tommy,128,Rustboro Gym,Right,Geodude,8,Tackle,Defense Curl,Mud Sport,,146,25,16,22,10,10,9
,,,,Geodude,8,Tackle,Defense Curl,Mud Sport,,146,25,18,24,10,9,9
Hiker Marc,320,Rustboro Gym,Left,Geodude,8,Tackle,Defense Curl,Mud Sport,,146,25,18,22,9,10,9
,,,,Geodude,8,Tackle,Defense Curl,Mud Sport,,146,25,17,22,12,11,9
Leader Roxanne,1500,Rustboro Gym,,Geodude,12,Tackle,Rock Throw,Rock Tomb,Defense Curl,220,33,25,30,13,13,11
,,,,Geodude,12,Tackle,Rock Throw,Rock Tomb,Defense Curl,220,33,25,30,14,13,9
,,,Stone Badge,Nosepass,15,Tackle,Rock Tomb,Harden,Block,347,37,24,44,22,35,17
Twins Gina & Mia [2],144,Route 104,Upper Bridge,Seedot,6,Bide,Harden,,,94,20,9,11,7,8,8
[2],,,,Lotad,6,Astonish,Growl,,,94,20,8,7,9,11,8
Bug Catcher Jose,128,Route 116,Bottom Left,Wurmple,8,Tackle,String Shot,,,92,25,13,11,8,9,8
,,,,Nincada,8,Scratch,Harden,Leech Life,,111,23,12,19,10,10,11
School Kid Karen,180,Route 116,Center,Shroomish,9,Absorb,Tackle,Stun Spore,,125,29,12,16,12,15,9
